,subject_fn,age,school,sex,sex_bool,cond_C_bool,cond_G_bool,session,child_selected_00,child_result_00,child_selected_01,child_result_01,left_LE_01,mid_LE_01,child_selected_02,child_result_02,left_LE_02,mid_LE_02,child_selected_03,child_result_03,left_LE_03,mid_LE_03,child_selected_04,child_result_04,left_LE_04,mid_LE_04,child_selected_05,child_result_05,left_LE_05,mid_LE_05
352,p120,6.0,B,F,0.0,0.0,0.0,1,0.0,1.0,2.0,1.0,0.10245858705960788,0.10389416034405048,1.0,1.0,0.02797090395902976,0.025240387672033064,1.0,0.0,0.020436982313791912,0.017730144354013298,2.0,0.0,0.017730144354013298,0.01665943096845578,1.0,1.0,0.01665943096845578,0.017122938082768366
356,p016,6.0,A,F,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.9698818891476362,0.9616521199544271,1.0,0.0,0.08202391404371995,0.08181708898299779,1.0,0.0,0.08181708898299779,0.08348324359991612,2.0,0.0,0.08348324359991612,0.08514806551811023,0.0,1.0,0.08514806551811023,0.08609928840245956
357,p007,6.0,A,F,0.0,1.0,0.0,1,1.0,1.0,1.0,0.0,0.08047783680451222,0.08202391404371995,1.0,0.0,0.08202391404371995,0.08181708898299779,2.0,0.0,0.08181708898299779,0.08348324359991612,1.0,0.0,0.08348324359991612,0.08514806551811023,2.0,,0.08514806551811023,0.08609928840245956
361,p006,6.0,A,F,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.08047783680451222,0.08202391404371995,1.0,1.0,0.05907118626129933,0.05874714484581581,1.0,0.0,0.049541882979564175,0.05062967080336351,2.0,1.0,0.05062967080336351,0.05127246563251202,0.0,,0.04544109258896265,0.04836102632375864
362,p127,5.0,B,M,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.9698818891476362,0.9616521199544271,0.0,1.0,0.9616521199544271,0.959145766038161,1.0,0.0,0.0731184604840401,0.07467131125621307,1.0,0.0,0.07467131125621307,0.0760338489825909,0.0,,0.0760338489825909,0.0768125668550149
368,p056,5.0,A,M,1.0,0.0,1.0,1,2.0,1.0,2.0,1.0,0.4011278396997696,0.3178064150687976,2.0,0.0,0.2673568236522185,0.17148072902972883,1.0,0.0,0.17148072902972883,0.07868359639094426,1.0,0.0,0.07868359639094426,0.07984286699539576,2.0,,0.07984286699539576,0.0806266222244654
381,p005,5.0,A,F,0.0,0.0,0.0,1,2.0,1.0,2.0,1.0,0.4011278396997696,0.3178064150687976,0.0,1.0,0.2673568236522185,0.17148072902972883,2.0,0.0,0.10607460217598157,0.06645977191435985,1.0,,0.06645977191435985,0.036091321553939425,0.0,,0.036091321553939425,0.03697074376619779
394,p126,6.0,B,F,0.0,1.0,1.0,1,1.0,0.0,1.0,0.0,0.9698818891476362,0.9616521199544271,1.0,0.0,0.9616521199544271,0.959145766038161,1.0,0.0,0.959145766038161,0.9539074041904547,2.0,0.0,0.9539074041904547,0.950863764836238,0.0,0.0,0.950863764836238,0.9470786070212339
416,p046,8.0,A,M,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.08047783680451222,0.08202391404371995,1.0,1.0,0.08202391404371995,0.08181708898299779,1.0,0.0,0.05872829143817608,0.060031817509577826,2.0,0.0,0.060031817509577826,0.06100354439172989,0.0,1.0,0.06100354439172989,0.06186491403824244
425,p119,5.0,B,M,1.0,1.0,1.0,1,0.0,1.0,1.0,0.0,0.10245858705960788,0.10389416034405048,2.0,1.0,0.10389416034405048,0.1055912849230644,0.0,1.0,0.035470467347365156,0.032963233116345525,0.0,0.0,0.026215418791159604,0.023919663368127286,2.0,0.0,0.023919663368127286,0.023517978497040577
432,p054,8.0,A,M,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.10245858705960788,0.10389416034405048,2.0,1.0,0.06974409788082807,0.07088332298474434,0.0,0.0,0.026262167172554213,0.02495489517847697,1.0,0.0,0.026262167172554213,0.02495489517847697,0.0,0.0,0.02495489517847697,0.024928851005358573
444,p057,8.0,A,F,0.0,1.0,1.0,1,2.0,1.0,0.0,0.0,0.4011278396997696,0.3178064150687976,2.0,1.0,0.4011278396997696,0.3178064150687976,1.0,0.0,0.26154703971667165,0.1692970960568159,2.0,0.0,0.1692970960568159,0.07860160485292092,1.0,0.0,0.07860160485292092,0.07964804233648838
445,p129,6.0,B,F,0.0,1.0,1.0,1,2.0,1.0,2.0,1.0,0.4011278396997696,0.3178064150687976,2.0,0.0,0.2673568236522185,0.17148072902972883,2.0,0.0,0.17148072902972883,0.07868359639094426,1.0,0.0,0.07868359639094426,0.07984286699539576,1.0,0.0,0.07984286699539576,0.0806266222244654
